h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
1.5,1,1.45108,-0.153594,-0.153594,-0.998588,2.1476e-06,1000
1.5,1.1,1.45108,-0.119151,-0.119151,-0.996922,3.43224e-06,1000
1.5,1.2,1.45108,-0.0848748,-0.0848748,-0.993967,5.27216e-06,1000
1.5,1.3,1.45108,-0.0508343,-0.0508343,-0.989051,8.2245e-06,1000
1.5,1.37108,1.45108,-0.0268228,-0.0268228,-0.983816,1.08338e-05,1000
1.5,1.38108,1.45108,-0.0234585,-0.0234585,-0.98292,1.09547e-05,1000
1.5,1.39108,1.45108,-0.0200979,-0.0200979,-0.981994,1.16784e-05,1000
1.5,1.4,1.45108,-0.0171021,-0.0171021,-0.98112,1.23173e-05,1000
1.5,1.40108,1.45108,-0.0167411,-0.0167411,-0.98101,1.18988e-05,1000
1.5,1.41108,1.45108,-0.0133881,-0.0133881,-0.979996,1.30642e-05,1000
1.5,1.42108,1.45108,-0.010039,-0.010039,-0.978897,1.35569e-05,1000
1.5,1.43108,1.45108,-0.00669387,-0.00669387,-0.977753,1.4347e-05,1000
1.5,1.43308,1.45108,-0.00602533,-0.00602533,-0.977544,1.42623e-05,1000
1.5,1.43508,1.45108,-0.00535695,-0.00535695,-0.977301,1.47214e-05,1000
1.5,1.43708,1.45108,-0.00468874,-0.00468874,-0.977052,1.67643e-05,1000
1.5,1.43908,1.45108,-0.00402069,-0.00402069,-0.97681,2.0648e-05,1000
1.5,1.44108,1.45108,-0.0033528,-0.0033528,-0.976522,2.37595e-05,1000
1.5,1.44308,1.45108,-0.00268507,-0.00268507,-0.976291,2.99409e-05,1000
1.5,1.44508,1.45108,-0.00201752,-0.00201752,-0.975943,4.68415e-05,1000
1.5,1.44708,1.45108,-0.00135012,-0.00135012,-0.974648,0.000236369,1000
1.5,1.44908,1.45108,-0.0006829,-0.0006829,-0.96051,0.00192729,1000
1.5,1.45108,1.45108,-1.58413e-05,-1.58413e-05,-0.714821,0.0112016,1000
1.5,1.45308,1.45108,0.000651049,0.000651049,0.104206,0.00505137,1000
1.5,1.45508,1.45108,0.00131777,0.00131777,0.968067,0.000704154,1000
1.5,1.45708,1.45108,0.00198433,0.00198433,0.974604,0.000120495,1000
1.5,1.45908,1.45108,0.00265071,0.00265071,0.974631,1.61862e-05,1000
1.5,1.46108,1.45108,0.00331692,0.00331692,0.97444,1.57855e-05,1000
1.5,1.46308,1.45108,0.00398297,0.00398297,0.974289,1.62287e-05,1000
1.5,1.46508,1.45108,0.00464884,0.00464884,0.97412,1.60619e-05,1000
1.5,1.46708,1.45108,0.00531454,0.00531454,0.973894,1.60614e-05,1000
1.5,1.46908,1.45108,0.00598007,0.00598007,0.973735,1.56777e-05,1000
1.5,1.47108,1.45108,0.00664543,0.00664543,0.973559,1.63468e-05,1000
1.5,1.48108,1.45108,0.0099696,0.0099696,0.972636,1.64438e-05,1000
1.5,1.49108,1.45108,0.0132894,0.0132894,0.971661,1.65841e-05,1000
1.5,1.5,1.45108,0.0162481,0.0162481,0.970802,1.6911e-05,1000
1.5,1.50108,1.45108,0.0166047,0.0166047,0.970729,1.77831e-05,1000
1.5,1.51108,1.45108,0.0199154,0.0199154,0.969722,1.80499e-05,1000
1.5,1.52108,1.45108,0.0232216,0.0232216,0.968695,1.91055e-05,1000
1.5,1.53108,1.45108,0.026523,0.026523,0.967651,1.94741e-05,1000
1.5,1.6,1.45108,0.0491455,0.0491455,0.959915,2.67441e-05,1000
1.5,1.7,1.45108,0.081524,0.081524,0.946631,3.42173e-05,1000
1.5,1.8,1.45108,0.113325,0.113325,0.930626,4.21936e-05,1000
1.5,1.9,1.45108,0.144497,0.144497,0.912236,4.43091e-05,1000
1.5,1.91688,1.45108,0.149694,0.149694,0.908879,4.40902e-05,1000
1.5,1.92688,1.45108,0.152764,0.152764,0.906864,4.36688e-05,1000
1.5,1.93688,1.45108,0.155826,0.155826,0.904732,4.31968e-05,1000
1.5,1.94688,1.45108,0.158882,0.158882,0.902753,4.28679e-05,1000
1.5,1.95688,1.45108,0.161931,0.161931,0.900682,4.61039e-05,1000
1.5,1.96688,1.45108,0.164973,0.164973,0.898607,4.54498e-05,1000
1.5,1.97688,1.45108,0.168008,0.168008,0.896399,4.44758e-05,1000
1.5,1.97888,1.45108,0.168614,0.168614,0.89599,4.67153e-05,1000
1.5,1.98088,1.45108,0.16922,0.16922,0.895481,4.74775e-05,1000
1.5,1.98288,1.45108,0.169826,0.169826,0.895068,4.49725e-05,1000
1.5,1.98488,1.45108,0.170431,0.170431,0.894666,4.58647e-05,1000
1.5,1.98688,1.45108,0.171036,0.171036,0.894173,4.7185e-05,1000
1.5,1.98888,1.45108,0.171641,0.171641,0.893753,4.68143e-05,1000
1.5,1.99088,1.45108,0.172245,0.172245,0.893271,4.74966e-05,1000
1.5,1.99288,1.45108,0.17285,0.17285,0.892896,4.49184e-05,1000
1.5,1.99488,1.45108,0.173453,0.173453,0.892451,4.55879e-05,1000
1.5,1.99688,1.45108,0.174057,0.174057,0.892012,4.60823e-05,1000
1.5,1.99888,1.45108,0.17466,0.17466,0.891583,4.72454e-05,1000
1.5,2,1.45108,0.174997,0.174997,0.891336,4.8523e-05,1000
1.5,2.00088,1.45108,0.175263,0.175263,0.891197,4.78627e-05,1000
1.5,2.00288,1.45108,0.175866,0.175866,0.890685,4.81497e-05,1000
1.5,2.00488,1.45108,0.176469,0.176469,0.890317,4.74249e-05,1000
1.5,2.00688,1.45108,0.177071,0.177071,0.889825,4.72189e-05,1000
1.5,2.00888,1.45108,0.177673,0.177673,0.88938,4.75222e-05,1000
1.5,2.01088,1.45108,0.178275,0.178275,0.889002,4.91947e-05,1000
1.5,2.01288,1.45108,0.178876,0.178876,0.888619,4.69623e-05,1000
