h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
1.5,1,1.45108,-0.153594,-0.153594,-0.998591,1.5079e-06,2000
1.5,1.1,1.45108,-0.119151,-0.119151,-0.996924,2.45256e-06,2000
1.5,1.2,1.45108,-0.0848748,-0.0848748,-0.993971,3.72868e-06,2000
1.5,1.3,1.45108,-0.0508343,-0.0508343,-0.989054,5.85975e-06,2000
1.5,1.37108,1.45108,-0.0268228,-0.0268228,-0.983818,7.58437e-06,2000
1.5,1.38108,1.45108,-0.0234585,-0.0234585,-0.982937,7.772e-06,2000
1.5,1.39108,1.45108,-0.0200979,-0.0200979,-0.981996,8.19671e-06,2000
1.5,1.4,1.45108,-0.0171021,-0.0171021,-0.981128,8.70073e-06,2000
1.5,1.40108,1.45108,-0.0167411,-0.0167411,-0.981014,8.61196e-06,2000
1.5,1.41108,1.45108,-0.0133881,-0.0133881,-0.980002,9.23239e-06,2000
1.5,1.42108,1.45108,-0.010039,-0.010039,-0.978906,9.62881e-06,2000
1.5,1.43108,1.45108,-0.00669387,-0.00669387,-0.977753,9.83067e-06,2000
1.5,1.43308,1.45108,-0.00602533,-0.00602533,-0.977549,1.01473e-05,2000
1.5,1.43508,1.45108,-0.00535695,-0.00535695,-0.977303,1.0264e-05,2000
1.5,1.43708,1.45108,-0.00468874,-0.00468874,-0.977067,1.00655e-05,2000
1.5,1.43908,1.45108,-0.00402069,-0.00402069,-0.97683,1.03318e-05,2000
1.5,1.44108,1.45108,-0.0033528,-0.0033528,-0.976569,1.06324e-05,2000
1.5,1.44308,1.45108,-0.00268507,-0.00268507,-0.976342,1.31254e-05,2000
1.5,1.44508,1.45108,-0.00201752,-0.00201752,-0.976045,1.38463e-05,2000
1.5,1.44708,1.45108,-0.00135012,-0.00135012,-0.975671,4.95223e-05,2000
1.5,1.44908,1.45108,-0.0006829,-0.0006829,-0.974396,0.000173157,2000
1.5,1.45108,1.45108,-1.58413e-05,-1.58413e-05,-0.929145,0.00339889,2000
1.5,1.45308,1.45108,0.000651049,0.000651049,0.294164,0.00665855,2000
1.5,1.45508,1.45108,0.00131777,0.00131777,0.963806,0.000610336,2000
1.5,1.45708,1.45108,0.00198433,0.00198433,0.974178,0.000120757,2000
1.5,1.45908,1.45108,0.00265071,0.00265071,0.974554,3.01959e-05,2000
1.5,1.46108,1.45108,0.00331692,0.00331692,0.974419,2.18121e-05,2000
1.5,1.46308,1.45108,0.00398297,0.00398297,0.974235,2.07833e-05,2000
1.5,1.46508,1.45108,0.00464884,0.00464884,0.974091,1.33344e-05,2000
1.5,1.46708,1.45108,0.00531454,0.00531454,0.97391,1.15504e-05,2000
1.5,1.46908,1.45108,0.00598007,0.00598007,0.973728,1.17041e-05,2000
1.5,1.47108,1.45108,0.00664543,0.00664543,0.973551,1.17216e-05,2000
1.5,1.48108,1.45108,0.0099696,0.0099696,0.972648,1.16054e-05,2000
1.5,1.49108,1.45108,0.0132894,0.0132894,0.971666,1.18863e-05,2000
1.5,1.5,1.45108,0.0162481,0.0162481,0.970775,1.22775e-05,2000
1.5,1.50108,1.45108,0.0166047,0.0166047,0.970713,1.22408e-05,2000
1.5,1.51108,1.45108,0.0199154,0.0199154,0.969725,1.29104e-05,2000
1.5,1.52108,1.45108,0.0232216,0.0232216,0.968704,1.32345e-05,2000
1.5,1.53108,1.45108,0.026523,0.026523,0.967651,1.39508e-05,2000
1.5,1.6,1.45108,0.0491455,0.0491455,0.959899,1.83889e-05,2000
1.5,1.7,1.45108,0.081524,0.081524,0.946599,2.46515e-05,2000
1.5,1.8,1.45108,0.113325,0.113325,0.930667,2.97118e-05,2000
1.5,1.9,1.45108,0.144497,0.144497,0.912234,3.12849e-05,2000
1.5,1.91688,1.45108,0.149694,0.149694,0.908853,3.01829e-05,2000
1.5,1.92688,1.45108,0.152764,0.152764,0.906863,3.05265e-05,2000
1.5,1.93688,1.45108,0.155826,0.155826,0.904757,3.01629e-05,2000
1.5,1.94688,1.45108,0.158882,0.158882,0.902716,3.15903e-05,2000
1.5,1.95688,1.45108,0.161931,0.161931,0.90063,3.23523e-05,2000
1.5,1.96688,1.45108,0.164973,0.164973,0.898556,3.21947e-05,2000
1.5,1.97688,1.45108,0.168008,0.168008,0.896317,3.16631e-05,2000
1.5,1.97888,1.45108,0.168614,0.168614,0.895966,3.28888e-05,2000
1.5,1.98088,1.45108,0.16922,0.16922,0.895459,3.27611e-05,2000
1.5,1.98288,1.45108,0.169826,0.169826,0.895086,3.23351e-05,2000
1.5,1.98488,1.45108,0.170431,0.170431,0.894705,3.2202e-05,2000
1.5,1.98688,1.45108,0.171036,0.171036,0.894181,3.29964e-05,2000
1.5,1.98888,1.45108,0.171641,0.171641,0.89379,3.3051e-05,2000
1.5,1.99088,1.45108,0.172245,0.172245,0.893352,3.27501e-05,2000
1.5,1.99288,1.45108,0.17285,0.17285,0.892937,3.27942e-05,2000
1.5,1.99488,1.45108,0.173453,0.173453,0.892491,3.33066e-05,2000
1.5,1.99688,1.45108,0.174057,0.174057,0.892036,3.35129e-05,2000
1.5,1.99888,1.45108,0.17466,0.17466,0.891556,3.37775e-05,2000
1.5,2,1.45108,0.174997,0.174997,0.891332,3.3248e-05,2000
1.5,2.00088,1.45108,0.175263,0.175263,0.891168,3.30387e-05,2000
1.5,2.00288,1.45108,0.175866,0.175866,0.890692,3.40138e-05,2000
1.5,2.00488,1.45108,0.176469,0.176469,0.89024,3.40372e-05,2000
1.5,2.00688,1.45108,0.177071,0.177071,0.889811,3.33446e-05,2000
1.5,2.00888,1.45108,0.177673,0.177673,0.889384,3.36602e-05,2000
1.5,2.01088,1.45108,0.178275,0.178275,0.888986,3.38828e-05,2000
1.5,2.01288,1.45108,0.178876,0.178876,0.888542,3.38754e-05,2000
1.5,2.01488,1.45108,0.179477,0.179477,0.888149,3.40538e-05,2000
1.5,2.01688,1.45108,0.180078,0.180078,0.887611,3.49194e-05,2000
