h,T,T0,heff,Hfield,m_mean,m_err,mabs_mean,mabs_err,meas_bins
0.001,1,2.05559,-0.00028537,-0.00028537,-0.999278,1.05268e-06,0.999278,1.05268e-06,1000
0.001,1.1,2.05559,-0.000264876,-0.000264876,-0.998446,1.62493e-06,0.998446,1.62493e-06,1000
0.001,1.2,2.05559,-0.000241479,-0.000241479,-0.997027,2.45281e-06,0.997027,2.45281e-06,1000
0.001,1.3,2.05559,-0.000215815,-0.000215815,-0.994774,3.50085e-06,0.994774,3.50085e-06,1000
0.001,1.4,2.05559,-0.000188498,-0.000188498,-0.991389,4.8531e-06,0.991389,4.8531e-06,1000
0.001,1.5,2.05559,-0.000160082,-0.000160082,-0.986502,7.15622e-06,0.986502,7.15622e-06,1000
0.001,1.6,2.05559,-0.000131045,-0.000131045,-0.965821,0.00473026,0.979633,1.06609e-05,1000
0.001,1.7,2.05559,-0.000101781,-0.000101781,-0.851638,0.0143624,0.970084,1.53097e-05,1000
0.001,1.8,2.05559,-7.26063e-05,-7.26063e-05,-0.856157,0.0132034,0.956912,2.41737e-05,1000
0.001,1.9,2.05559,-4.37697e-05,-4.37697e-05,-0.322429,0.0269861,0.938317,4.14825e-05,1000
0.001,1.97559,2.05559,-2.23138e-05,-2.23138e-05,-0.101187,0.0126611,0.918941,4.60854e-05,1000
0.001,1.98559,2.05559,-1.95013e-05,-1.95013e-05,-0.0749878,0.0114023,0.915873,4.45912e-05,1000
0.001,1.99559,2.05559,-1.66952e-05,-1.66952e-05,-0.0524662,0.0102339,0.91272,4.57223e-05,1000
0.001,2,2.05559,-1.54588e-05,-1.54588e-05,-0.0452611,0.00989768,0.911334,4.79289e-05,1000
0.001,2.00559,2.05559,-1.38958e-05,-1.38958e-05,-0.0412409,0.0094455,0.909469,4.8201e-05,1000
0.001,2.01559,2.05559,-1.11031e-05,-1.11031e-05,-0.0228943,0.00898624,0.906021,5.39965e-05,1000
0.001,2.02559,2.05559,-8.31723e-06,-8.31723e-06,-0.0114028,0.00831953,0.902423,5.40452e-05,1000
0.001,2.03559,2.05559,-5.53835e-06,-5.53835e-06,0.00790578,0.00744054,0.898617,5.38219e-05,1000
0.001,2.03759,2.05559,-4.98341e-06,-4.98341e-06,0.0132117,0.00719774,0.897843,5.31605e-05,1000
0.001,2.03959,2.05559,-4.42876e-06,-4.42876e-06,0.0182217,0.00696749,0.897026,5.60347e-05,1000
0.001,2.04159,2.05559,-3.8744e-06,-3.8744e-06,0.0243023,0.00677441,0.896175,5.49899e-05,1000
0.001,2.04359,2.05559,-3.32032e-06,-3.32032e-06,0.0284719,0.00663694,0.895377,5.44391e-05,1000
0.001,2.04559,2.05559,-2.76652e-06,-2.76652e-06,0.0344021,0.0067465,0.894541,5.49331e-05,1000
0.001,2.04759,2.05559,-2.21302e-06,-2.21302e-06,0.0320003,0.0067503,0.893712,5.69969e-05,1000
