h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
0.1,1,2.05332,-0.028483,-0.028483,-0.999318,1.49123e-06,1000
0.1,1.1,2.05332,-0.0264255,-0.0264255,-0.998525,2.29114e-06,1000
0.1,1.2,2.05332,-0.0240799,-0.0240799,-0.997163,3.40655e-06,1000
0.1,1.3,2.05332,-0.0215096,-0.0215096,-0.994985,4.8437e-06,1000
0.1,1.4,2.05332,-0.0187759,-0.0187759,-0.991684,6.89373e-06,1000
0.1,1.5,2.05332,-0.0159339,-0.0159339,-0.986916,9.51917e-06,1000
0.1,1.6,2.05332,-0.0130311,-0.0130311,-0.980163,1.38433e-05,1000
0.1,1.7,2.05332,-0.0101064,-0.0101064,-0.970757,2.03788e-05,1000
0.1,1.8,2.05332,-0.00719142,-0.00719142,-0.957639,3.1622e-05,1000
0.1,1.9,2.05332,-0.00431065,-0.00431065,-0.939188,5.25952e-05,1000
0.1,1.97332,2.05332,-0.00223115,-0.00223115,-0.920385,6.39817e-05,1000
0.1,1.98332,2.05332,-0.00195007,-0.00195007,-0.917238,6.10739e-05,1000
0.1,1.99332,2.05332,-0.00166964,-0.00166964,-0.914069,6.2065e-05,1000
0.1,2,2.05332,-0.00148272,-0.00148272,-0.911908,6.34095e-05,1000
0.1,2.00332,2.05332,-0.00138987,-0.00138987,-0.91069,6.51363e-05,1000
0.1,2.01332,2.05332,-0.00111078,-0.00111078,-0.907291,6.88204e-05,1000
0.1,2.02332,2.05332,-0.000832363,-0.000832363,-0.902533,0.000450199,1000
0.1,2.03332,2.05332,-0.000554645,-0.000554645,-0.850645,0.00291824,1000
0.1,2.03532,2.05332,-0.000499186,-0.000499186,-0.799913,0.00383549,1000
0.1,2.03732,2.05332,-0.000443754,-0.000443754,-0.695054,0.00523121,1000
0.1,2.03932,2.05332,-0.000388352,-0.000388352,-0.50682,0.00633946,1000
0.1,2.04132,2.05332,-0.000332977,-0.000332977,-0.190982,0.00715007,1000
0.1,2.04332,2.05332,-0.000277632,-0.000277632,0.220701,0.0069601,1000
0.1,2.04532,2.05332,-0.000222314,-0.000222314,0.531082,0.00629492,1000
0.1,2.04732,2.05332,-0.000167026,-0.000167026,0.698121,0.00504447,1000
0.1,2.04932,2.05332,-0.000111766,-0.000111766,0.789239,0.0038419,1000
0.1,2.05132,2.05332,-5.65351e-05,-5.65351e-05,0.840349,0.0027866,1000
0.1,2.05332,2.05332,-1.33308e-06,-1.33308e-06,0.865054,0.00204999,1000
0.1,2.05532,2.05332,5.384e-05,5.384e-05,0.878055,0.00142881,1000
0.1,2.05732,2.05332,0.000108984,0.000108984,0.881737,0.00112969,1000
0.1,2.05932,2.05332,0.000164099,0.000164099,0.884936,0.000821964,1000
0.1,2.06132,2.05332,0.000219184,0.000219184,0.886376,0.00055511,1000
0.1,2.06332,2.05332,0.000274241,0.000274241,0.886235,0.000427776,1000
0.1,2.06532,2.05332,0.000329268,0.000329268,0.885989,0.000263488,1000
0.1,2.06732,2.05332,0.000384265,0.000384265,0.885145,0.000264407,1000
0.1,2.06932,2.05332,0.000439233,0.000439233,0.884438,0.00019764,1000
0.1,2.07132,2.05332,0.000494172,0.000494172,0.883516,0.000198152,1000
0.1,2.07332,2.05332,0.00054908,0.00054908,0.8828,9.46211e-05,1000
0.1,2.08332,2.05332,0.000823177,0.000823177,0.878371,0.000104487,1000
0.1,2.09332,2.05332,0.00109652,0.00109652,0.873504,0.000113546,1000
0.1,2.1,2.05332,0.00127866,0.00127866,0.870186,0.000114073,1000
0.1,2.10332,2.05332,0.00136911,0.00136911,0.868404,0.000116744,1000
0.1,2.11332,2.05332,0.00164093,0.00164093,0.863049,0.00013831,1000
0.1,2.12332,2.05332,0.00191197,0.00191197,0.8573,0.000157359,1000
0.1,2.13332,2.05332,0.00218223,0.00218223,0.851254,0.000200095,1000
0.1,2.18919,2.05332,0.00367729,0.00367729,0.80943,0.000280518,1000
0.1,2.19919,2.05332,0.00394223,0.00394223,0.799912,0.000256043,1000
0.1,2.2,2.05332,0.00396377,0.00396377,0.799074,0.000255846,1000
0.1,2.20919,2.05332,0.00420634,0.00420634,0.789971,0.00027583,1000
0.1,2.21919,2.05332,0.00446961,0.00446961,0.778995,0.000294131,1000
0.1,2.22919,2.05332,0.00473205,0.00473205,0.767102,0.000334072,1000
0.1,2.23919,2.05332,0.00499365,0.00499365,0.754738,0.000343446,1000
0.1,2.24919,2.05332,0.00525439,0.00525439,0.740986,0.000336193,1000
0.1,2.25119,2.05332,0.00530644,0.00530644,0.738094,0.000342409,1000
0.1,2.25319,2.05332,0.00535845,0.00535845,0.735099,0.000337626,1000
0.1,2.25519,2.05332,0.00541043,0.00541043,0.73228,0.000341272,1000
0.1,2.25719,2.05332,0.00546238,0.00546238,0.72951,0.000344849,1000
0.1,2.25919,2.05332,0.00551429,0.00551429,0.726767,0.000332857,1000
0.1,2.26119,2.05332,0.00556617,0.00556617,0.723708,0.000337987,1000
0.1,2.26319,2.05332,0.00561801,0.00561801,0.720632,0.000342147,1000
0.1,2.26519,2.05332,0.00566982,0.00566982,0.717539,0.00034796,1000
0.1,2.26719,2.05332,0.00572159,0.00572159,0.714727,0.00034812,1000
0.1,2.26919,2.05332,0.00577333,0.00577333,0.711526,0.000358943,1000
0.1,2.27119,2.05332,0.00582503,0.00582503,0.708252,0.000362363,1000
0.1,2.27319,2.05332,0.0058767,0.0058767,0.704744,0.000368174,1000
0.1,2.27519,2.05332,0.00592834,0.00592834,0.701396,0.000386339,1000
0.1,2.27719,2.05332,0.00597994,0.00597994,0.698125,0.000381334,1000
0.1,2.27919,2.05332,0.00603151,0.00603151,0.69458,0.000394589,1000
0.1,2.28119,2.05332,0.00608304,0.00608304,0.691041,0.000393379,1000
0.1,2.28319,2.05332,0.00613454,0.00613454,0.687125,0.00040239,1000
0.1,2.28519,2.05332,0.006186,0.006186,0.683534,0.000417565,1000
0.1,2.28719,2.05332,0.00623743,0.00623743,0.680126,0.00044092,1000
0.1,2.28919,2.05332,0.00628883,0.00628883,0.675982,0.000462978,1000
0.1,2.29919,2.05332,0.00654528,0.00654528,0.655632,0.000543604,1000
0.1,2.3,2.05332,0.00656613,0.00656613,0.653699,0.000537555,1000
0.1,2.30919,2.05332,0.00680086,0.00680086,0.633785,0.000622787,1000
0.1,2.31919,2.05332,0.00705558,0.00705558,0.612216,0.000699698,1000
0.1,2.32919,2.05332,0.00730941,0.00730941,0.589867,0.000783771,1000
0.1,2.33919,2.05332,0.00756238,0.00756238,0.56695,0.000881378,1000
0.1,2.34919,2.05332,0.00781446,0.00781446,0.544512,0.00113323,1000
0.1,2.4,2.05332,0.00908177,0.00908177,0.419748,0.00186006,1000
0.1,2.5,2.05332,0.0115087,0.0115087,0.261967,0.00161232,1000
