h,T,T0,heff,Hfield,m_mean,m_err,mabs_mean,mabs_err,meas_bins
0,1,nan,0,0,0.504934,0.02112,0.999277,1.10343e-06,1000
0,1.1,nan,0,0,0.513799,0.0189653,0.998446,1.70089e-06,1000
0,1.2,nan,0,0,0.499986,0.020772,0.997023,2.58549e-06,1000
0,1.3,nan,0,0,0.389631,0.0241376,0.99477,3.63969e-06,1000
0,1.4,nan,0,0,0.341814,0.0258624,0.991393,4.87824e-06,1000
0,1.5,nan,0,0,0.408016,0.0257795,0.986497,6.93035e-06,1000
0,1.6,nan,0,0,0.33177,0.0276883,0.979632,1.03234e-05,1000
0,1.7,nan,0,0,0.208785,0.0292496,0.970066,1.52223e-05,1000
0,1.8,nan,0,0,0.172516,0.0293397,0.956895,2.40177e-05,1000
0,1.9,nan,0,0,0.251421,0.0284357,0.938265,4.02302e-05,1000
0,2,nan,0,0,0.0731057,0.0286087,0.911443,8.18315e-05,1000
0,2.1,nan,0,0,0.646674,0.0182386,0.868545,0.000210136,1000
0,2.18919,nan,0,0,0.0480506,0.0128647,0.798307,0.000288612,1000
0,2.19919,nan,0,0,0.0449958,0.0107442,0.78613,0.000288043,1000
0,2.2,nan,0,0,0.0445163,0.0106681,0.78511,0.000292415,1000
0,2.20919,nan,0,0,0.047131,0.010239,0.772501,0.000327583,1000
0,2.21919,nan,0,0,0.0546791,0.00997493,0.755554,0.000416913,1000
0,2.22919,nan,0,0,0.0536629,0.00968959,0.73472,0.000509903,1000
0,2.23919,nan,0,0,0.0505327,0.00893514,0.709827,0.00061434,1000
0,2.24919,nan,0,0,0.0517219,0.00755014,0.675402,0.000757867,1000
0,2.25119,nan,0,0,0.0469519,0.00729935,0.667346,0.000768419,1000
0,2.25319,nan,0,0,0.0467886,0.00706191,0.6587,0.000812886,1000
0,2.25519,nan,0,0,0.0464696,0.00681809,0.648629,0.000871094,1000
0,2.25719,nan,0,0,0.0460124,0.00668235,0.638583,0.000947223,1000
0,2.25919,nan,0,0,0.0462842,0.00655213,0.626897,0.00100032,1000
0,2.26119,nan,0,0,0.0452236,0.00629059,0.614924,0.00104879,1000
0,2.26319,nan,0,0,0.0441051,0.00612582,0.602967,0.001094,1000
0,2.26519,nan,0,0,0.0439122,0.00591011,0.588444,0.00119245,1000
0,2.26719,nan,0,0,0.0437105,0.00586115,0.573664,0.00128854,1000
0,2.26919,nan,0,0,0.0402828,0.00569721,0.557255,0.00143441,1000
0,2.27119,nan,0,0,0.0394142,0.00549561,0.54011,0.001501,1000
0,2.27319,nan,0,0,0.0379301,0.00527423,0.522139,0.0015625,1000
0,2.27519,nan,0,0,0.0353556,0.00523658,0.504015,0.00164363,1000
0,2.27719,nan,0,0,0.0335312,0.00504226,0.486238,0.00171795,1000
0,2.27919,nan,0,0,0.0308527,0.00484708,0.466294,0.00180408,1000
0,2.28119,nan,0,0,0.0292961,0.00469193,0.4459,0.00186528,1000
0,2.28319,nan,0,0,0.0266639,0.00447871,0.425818,0.00189447,1000
0,2.28519,nan,0,0,0.022697,0.0042663,0.407062,0.00194789,1000
0,2.28719,nan,0,0,0.0240526,0.00424475,0.389309,0.00197666,1000
0,2.28919,nan,0,0,0.0218266,0.00418106,0.371356,0.00205481,1000
0,2.29919,nan,0,0,0.00941982,0.00365529,0.293258,0.00201402,1000
0,2.3,nan,0,0,0.0107416,0.00360061,0.287873,0.00201568,1000
0,2.30919,nan,0,0,0.0062675,0.00311251,0.232851,0.00185128,1000
0,2.31919,nan,0,0,0.00231162,0.00277646,0.192524,0.00164111,1000
0,2.32919,nan,0,0,-0.000756699,0.00255287,0.164285,0.0014596,1000
0,2.33919,nan,0,0,0.0001087,0.00245365,0.144729,0.00139093,1000
0,2.34919,nan,0,0,-0.000231054,0.0024554,0.129692,0.00141623,1000
0,2.4,nan,0,0,0.00277603,0.00280679,0.084083,0.00159684,1000
0,2.5,nan,0,0,-0.00719479,0.00174181,0.0530159,0.000896884,1000
0,2.6,nan,0,0,-0.00143933,0.00110558,0.0400509,0.000506406,1000
0,2.7,nan,0,0,0.000722594,0.000735153,0.0321164,0.000329686,1000
0,2.8,nan,0,0,0.00153694,0.000553407,0.0283458,0.000246343,1000
0,2.9,nan,0,0,0.000412511,0.000422397,0.0247756,0.000188658,1000
0,3,nan,0,0,0.000243535,0.000359447,0.0224978,0.000153254,1000
