h,T,T0,heff,Hfield,m_mean,m_err,meas_bins
1.5,1,1.45108,-0.153594,-0.153594,-0.99948,8.87412e-07,2000
1.5,1.1,1.45108,-0.119151,-0.119151,-0.998778,1.4238e-06,2000
1.5,1.2,1.45108,-0.0848748,-0.0848748,-0.997479,2.1463e-06,2000
1.5,1.3,1.45108,-0.0508343,-0.0508343,-0.995258,3.29417e-06,2000
1.5,1.37108,1.45108,-0.0268228,-0.0268228,-0.992881,4.12965e-06,2000
1.5,1.38108,1.45108,-0.0234585,-0.0234585,-0.992478,4.3858e-06,2000
1.5,1.39108,1.45108,-0.0200979,-0.0200979,-0.992065,4.4648e-06,2000
1.5,1.4,1.45108,-0.0171021,-0.0171021,-0.991674,4.52077e-06,2000
1.5,1.40108,1.45108,-0.0167411,-0.0167411,-0.991616,4.65143e-06,2000
1.5,1.41108,1.45108,-0.0133881,-0.0133881,-0.991165,4.85343e-06,2000
1.5,1.42108,1.45108,-0.010039,-0.010039,-0.990676,5.03848e-06,2000
1.5,1.43108,1.45108,-0.00669387,-0.00669387,-0.990172,5.08576e-06,2000
1.5,1.43308,1.45108,-0.00602533,-0.00602533,-0.990084,5.23635e-06,2000
1.5,1.43508,1.45108,-0.00535695,-0.00535695,-0.989973,5.30326e-06,2000
1.5,1.43708,1.45108,-0.00468874,-0.00468874,-0.989869,5.22009e-06,2000
1.5,1.43908,1.45108,-0.00402069,-0.00402069,-0.989757,7.80142e-06,2000
1.5,1.44108,1.45108,-0.0033528,-0.0033528,-0.989641,8.8609e-06,2000
1.5,1.44308,1.45108,-0.00268507,-0.00268507,-0.989531,1.01889e-05,2000
1.5,1.44508,1.45108,-0.00201752,-0.00201752,-0.989316,4.21685e-05,2000
1.5,1.44708,1.45108,-0.00135012,-0.00135012,-0.988109,0.000175249,2000
1.5,1.44908,1.45108,-0.0006829,-0.0006829,-0.897458,0.00468672,2000
1.5,1.45108,1.45108,-1.58413e-05,-1.58413e-05,0.0515397,0.00615157,2000
1.5,1.45308,1.45108,0.000651049,0.000651049,0.982234,0.000487409,2000
1.5,1.45508,1.45108,0.00131777,0.00131777,0.988645,8.65108e-05,2000
1.5,1.45708,1.45108,0.00198433,0.00198433,0.98883,2.08366e-05,2000
1.5,1.45908,1.45108,0.00265071,0.00265071,0.988757,5.77803e-06,2000
1.5,1.46108,1.45108,0.00331692,0.00331692,0.988693,5.51473e-06,2000
1.5,1.46308,1.45108,0.00398297,0.00398297,0.988603,5.78724e-06,2000
1.5,1.46508,1.45108,0.00464884,0.00464884,0.988524,5.74705e-06,2000
1.5,1.46708,1.45108,0.00531454,0.00531454,0.988427,5.85343e-06,2000
1.5,1.46908,1.45108,0.00598007,0.00598007,0.988335,5.96204e-06,2000
1.5,1.47108,1.45108,0.00664543,0.00664543,0.988247,5.97609e-06,2000
1.5,1.48108,1.45108,0.0099696,0.0099696,0.987814,6.12776e-06,2000
1.5,1.49108,1.45108,0.0132894,0.0132894,0.98735,6.22174e-06,2000
1.5,1.5,1.45108,0.0162481,0.0162481,0.986914,6.38117e-06,2000
1.5,1.50108,1.45108,0.0166047,0.0166047,0.986869,6.4243e-06,2000
1.5,1.51108,1.45108,0.0199154,0.0199154,0.986397,6.56399e-06,2000
1.5,1.52108,1.45108,0.0232216,0.0232216,0.985901,6.88218e-06,2000
1.5,1.53108,1.45108,0.026523,0.026523,0.985389,7.11149e-06,2000
1.5,1.6,1.45108,0.0491455,0.0491455,0.981569,8.88192e-06,2000
1.5,1.7,1.45108,0.081524,0.081524,0.974877,1.12707e-05,2000
1.5,1.8,1.45108,0.113325,0.113325,0.966616,1.42399e-05,2000
1.5,1.9,1.45108,0.144497,0.144497,0.956772,1.73294e-05,2000
1.5,2,1.45108,0.174997,0.174997,0.945186,2.0661e-05,2000
1.5,2.1,1.45108,0.204792,0.204792,0.931807,2.51888e-05,2000
1.5,2.18919,1.45108,0.230747,0.230747,0.918305,2.49541e-05,2000
1.5,2.19919,1.45108,0.233621,0.233621,0.91669,2.49237e-05,2000
1.5,2.2,1.45108,0.233854,0.233854,0.916566,2.54519e-05,2000
1.5,2.20919,1.45108,0.236486,0.236486,0.915108,2.53451e-05,2000
1.5,2.21919,1.45108,0.239345,0.239345,0.913427,2.52248e-05,2000
1.5,2.22919,1.45108,0.242195,0.242195,0.911805,2.70734e-05,2000
1.5,2.23919,1.45108,0.245039,0.245039,0.910079,2.66034e-05,2000
1.5,2.24919,1.45108,0.247874,0.247874,0.90842,2.72669e-05,2000
1.5,2.25119,1.45108,0.24844,0.24844,0.908112,2.67918e-05,2000
1.5,2.25319,1.45108,0.249006,0.249006,0.907715,2.70463e-05,2000
1.5,2.25519,1.45108,0.249572,0.249572,0.9074,2.76259e-05,2000
1.5,2.25719,1.45108,0.250137,0.250137,0.907056,2.69823e-05,2000
1.5,2.25919,1.45108,0.250702,0.250702,0.906729,2.68607e-05,2000
1.5,2.26119,1.45108,0.251267,0.251267,0.906405,2.72718e-05,2000
1.5,2.26319,1.45108,0.251831,0.251831,0.90601,2.80307e-05,2000
1.5,2.26519,1.45108,0.252395,0.252395,0.905634,2.70781e-05,2000
1.5,2.26719,1.45108,0.252959,0.252959,0.905352,2.71554e-05,2000
1.5,2.26919,1.45108,0.253523,0.253523,0.905005,2.74251e-05,2000
1.5,2.27119,1.45108,0.254086,0.254086,0.904623,2.82178e-05,2000
1.5,2.27319,1.45108,0.254649,0.254649,0.904259,2.77857e-05,2000
1.5,2.27519,1.45108,0.255211,0.255211,0.903935,2.80919e-05,2000
1.5,2.27719,1.45108,0.255773,0.255773,0.903609,2.79096e-05,2000
1.5,2.27919,1.45108,0.256335,0.256335,0.903241,2.83015e-05,2000
1.5,2.28119,1.45108,0.256897,0.256897,0.902934,2.79431e-05,2000
1.5,2.28319,1.45108,0.257458,0.257458,0.902604,2.84981e-05,2000
1.5,2.28519,1.45108,0.258019,0.258019,0.902204,2.83401e-05,2000
1.5,2.28719,1.45108,0.25858,0.25858,0.901875,2.91816e-05,2000
1.5,2.28919,1.45108,0.259141,0.259141,0.901506,2.89284e-05,2000
1.5,2.29919,1.45108,0.261938,0.261938,0.899656,2.89383e-05,2000
1.5,2.3,1.45108,0.262166,0.262166,0.899491,2.84616e-05,2000
1.5,2.30919,1.45108,0.264728,0.264728,0.897855,2.98686e-05,2000
1.5,2.31919,1.45108,0.26751,0.26751,0.89603,2.97789e-05,2000
1.5,2.32919,1.45108,0.270285,0.270285,0.894247,3.09736e-05,2000
1.5,2.33919,1.45108,0.273052,0.273052,0.892429,3.04864e-05,2000
1.5,2.34919,1.45108,0.275811,0.275811,0.8905,3.24737e-05,2000
1.5,2.4,1.45108,0.289714,0.289714,0.880806,3.91588e-05,2000
1.5,2.5,1.45108,0.316492,0.316492,0.860449,4.54686e-05,2000
1.5,2.6,1.45108,0.342501,0.342501,0.838823,5.04708e-05,2000
1.5,2.7,1.45108,0.367742,0.367742,0.815955,5.39625e-05,2000
1.5,2.8,1.45108,0.392225,0.392225,0.792277,5.90345e-05,2000
1.5,2.9,1.45108,0.415958,0.415958,0.768239,6.24798e-05,2000
1.5,3,1.45108,0.438957,0.438957,0.743915,6.37915e-05,2000
